CIS Microsoft Intune for Windows 11 Benchmark
v4.0.0 - 04-25-2025

Compliance Status|Number|Level|Title|Implemented|Reasoning|Profile Applicability|Description|Rationale|Impact|Audit|Remediation|Default Value|References|Additional Information
To Review|1.1|(L1)|Ensure 'Allow Cortana Above Lock' is set to 'Block' (Automated)|||• Level 1 (L1)|This policy setting determines whether or not the user can interact with Cortana using speech while the system is locked. The recommended state for this setting is: Block.|Access to any computer resource should not be allowed when the device is locked.|The system will need to be unlocked for the user to interact with Cortana using speech.|1. Navigate to the following registry location and note the WinningProvider GUID. This value confirms under which User GUID the policy is set. HKLM\SOFTWARE\Microsoft\PolicyManager\current\device\AboveLock:AllowCortanaAb oveLock_WinningProvider 2. Navigate to the following registry location and confirm the value is set to 0. HKLM\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\Default\Device\AboveLo ck:AllowCortanaAboveLock|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Block. Above Lock\Allow Cortana Above Lock|Enabled. (The user can interact with Cortana using speech while the system is locked.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspabovelock#allowcortanaabovelock 2. Minimum OS CSP: Windows 10, Version 1607 and later 3. GRID: MS-00000510|
To Review|4.1.3.1|(L1)|Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated)|||• Level 1 (L1)|Disables the lock screen camera toggle switch in PC Settings and prevents a camera from being invoked on the lock screen. The recommended state for this setting is: Enabled.|Disabling the lock screen camera extends the protection afforded by the lock screen to camera features.|If you enable this setting, users will no longer be able to enable or disable lock screen camera access in PC Settings, and the camera cannot be invoked on the lock screen.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\Personalization:NoLockScreenCamera|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\Control Panel\Personalization\Prevent enabling lock screen camera|Disabled. (Users can enable invocation of an available camera on the lock screen.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspdevicelock#preventenablinglockscreencamera 2. GRID: MS-00000231 3. Minimum OS CSP: Windows 10, version 1803 and later|
To Review|4.1.3.2|(L1)|Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated)|||• Level 1 (L1)|Disables the lock screen slide show settings in PC Settings and prevents a slide show from playing on the lock screen. The recommended state for this setting is: Enabled.|Disabling the lock screen slide show extends the protection afforded by the lock screen to slide show contents.|If you enable this setting, users will no longer be able to modify slide show settings in PC Settings, and no slide show will ever start.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 1. HKLM\SOFTWARE\Policies\Microsoft\Windows\Personalization:NoLockScreenSlidesho w|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\Control Panel\Personalization\Prevent enabling lock screen slide show|Disabled. (Users can enable a slide show that will run after they lock the machine.)|1. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspdevicelock#preventlockscreenslideshow 2. GRID: MS-00000232 3. Minimum OS CSP: Windows 10, version 1703 and later|
To Review|4.4.1|(L1)|Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (Automated)|||• Level 1 (L1)|"This setting controls whether local accounts can be used for remote administration via network logon (e.g., NET USE, connecting to C$, etc.). Local accounts are at high risk for credential theft when the same account and password is configured on multiple systems. Enabling this policy significantly reduces that risk. Enabled: Applies UAC token-filtering to local accounts on network logons. Membership in powerful group such as Administrators is disabled and powerful privileges are removed from the resulting access token. This configures the LocalAccountTokenFilterPolicy registry value to 0. This is the default behavior for Windows. Disabled: Allows local accounts to have full administrative rights when authenticating via network logon, by configuring the LocalAccountTokenFilterPolicy registry value to 1. For more information about local accounts and credential theft, review the ""Mitigating Pass-the-Hash (PtH) Attacks and Other Credential Theft Techniques"" documents. For more information about LocalAccountTokenFilterPolicy, see Microsoft Knowledge Base article 951016: Description of User Account Control and remote restrictions in Windows Vista. The recommended state for this setting is: Enabled."|Local accounts are at high risk for credential theft when the same account and password is configured on multiple systems. Ensuring this policy is Enabled significantly reduces that risk.|None - this is the default behavior.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System:LocalAccountTo kenFilterPolicy|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\MS Security Guide\Apply UAC restrictions to local accounts on network logons|Enabled. (UAC token-filtering is applied to local accounts on network logons. Membership in powerful groups such as Administrators and disabled and powerful privileges are removed from the resulting access token.)|1. https://learn.microsoft.com/en-us/windows/security/identity-protection/accesscontrol/local-accounts 2. https://techcommunity.microsoft.com/t5/microsoft-security-baselines/disablingsmbv1-through-group-policy/ba-p/701069 3. Minimum OS CSP: Windows 10, Version 1803 and later 4. GRID: MS-00000240|
To Review|4.4.2|(L1)|Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated)|||• Level 1 (L1)|This setting configures the start type for the Server Message Block version 1 (SMBv1) client driver service (MRxSmb10), which is recommended to be disabled. The recommended state for this setting is: Enabled: Disable driver (recommended). Note: Do not, under any circumstances, configure this overall setting as Disabled, as doing so will delete the underlying registry entry altogether, which will cause serious problems.|"Since September 2016, Microsoft has strongly encouraged that SMBv1 be disabled and no longer used on modern networks, as it is a 30 year old design that is much more vulnerable to attacks then much newer designs such as SMBv2 and SMBv3. More information on this can be found at the following links: Stop using SMB1 | Storage at Microsoft Disable SMB v1 in Managed Environments with Group Policy – ""Stay Safe"" Cyber Security Blog Disabling SMBv1 through Group Policy – Microsoft Security Guidance blog"|"Some legacy OSes (e.g. Windows XP, Server 2003 or older), applications and appliances may no longer be able to communicate with the system once SMBv1 is disabled. We recommend careful testing be performed to determine the impact prior to configuring this as a widespread control, and where possible, remediate any incompatibilities found with the vendor of the incompatible system. Microsoft is also maintaining a thorough (although not comprehensive) list of known SMBv1 incompatibilities at this link: SMB1 Product Clearinghouse | Storage at Microsoft"|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 4. HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10:Start|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled: Disable driver (recommended). Administrative Templates\MS Security Guide\Configure SMB v1 client driver|Windows 7 and Windows 8.0: Enabled: Manual start. Windows 8.1 and Windows 10 (up to R1703): Enabled: Automatic start. Windows 10 R1709 or newer: Enabled: Disable driver.|1. https://techcommunity.microsoft.com/t5/microsoft-security-baselines/disablingsmbv1-through-group-policy/ba-p/701069 2. https://learn.microsoft.com/en-us/windows-server/storage/fileserver/troubleshoot/detect-enable-and-disable-smbv1-v2-v3 3. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspmssecurityguide#configuresmbv1clientdriver 4. Minimum OS CSP: Windows 10, Version 1803 and later 5. GRID: MS-00000242|
To Review|4.4.3|(L1)|Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This setting configures the server-side processing of the Server Message Block version 1 (SMBv1) protocol. The recommended state for this setting is: Disabled.|"Since September 2016, Microsoft has strongly encouraged that SMBv1 be disabled and no longer used on modern networks, as it is a 30 year old design that is much more vulnerable to attacks then much newer designs such as SMBv2 and SMBv3. More information on this can be found at the following links: Stop using SMB1 | Storage at Microsoft Disable SMB v1 in Managed Environments with Group Policy – ""Stay Safe"" Cyber Security Blog Disabling SMBv1 through Group Policy – Microsoft Security Guidance blog"|"Some legacy OSes (e.g. Windows XP, Server 2003 or older), applications and appliances may no longer be able to communicate with the system once SMBv1 is disabled. We recommend careful testing be performed to determine the impact prior to configuring this as a widespread control, and where possible, remediate any incompatibilities found with the vendor of the incompatible system. Microsoft is also maintaining a thorough (although not comprehensive) list of known SMBv1 incompatibilities at this link: SMB1 Product Clearinghouse | Storage at Microsoft"|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters:SMB1|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\MS Security Guide\Configure SMB v1 server|Windows 10 R1703 and older: Enabled. Windows 10 R1709 or newer: Disabled.|1. https://techcommunity.microsoft.com/t5/microsoft-security-baselines/disablingsmbv1-through-group-policy/ba-p/701069 2. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspmssecurityguide#configuresmbv1server 3. Minimum OS CSP: Windows 10, Version 1803 and later 4. GRID: MS-00000243|
To Review|4.4.4|(L1)|Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated)|||• Level 1 (L1)|Windows includes support for Structured Exception Handling Overwrite Protection (SEHOP). We recommend enabling this feature to improve the security profile of the computer. The recommended state for this setting is: Enabled.|This feature is designed to block exploits that use the Structured Exception Handler (SEH) overwrite technique. This protection mechanism is provided at run-time. Therefore, it helps protect applications regardless of whether they have been compiled with the latest improvements, such as the /SAFESEH option.|After you enable SEHOP, existing versions of Cygwin, Skype, and Armadillo-protected applications may not work correctly.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\kernel:DisableExceptionChainValidation|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled. Administrative Templates\MS Security Guide\Enable Structured Exception Handling Overwrite Protection (SEHOP) More information is available at MSKB 956607: How to enable Structured Exception Handling Overwrite Protection (SEHOP) in Windows operating systems|Disabled for 32-bit processes.|1. https://learn.microsoft.com/en-us/windows/security/threat-protection/overridemitigation-options-for-app-related-security-policies 2. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspmssecurityguide#enablestructuredexceptionhandlingoverwriteprotection 3. Minimum OS CSP: Windows 10, Version 1803 and later 4. GRID: MS-00000245|
To Review|4.4.5|(L1)|Ensure 'WDigest Authentication' is set to 'Disabled' (Automated)|||• Level 1 (L1)|"When WDigest authentication is enabled, Lsass.exe retains a copy of the user's plaintext password in memory, where it can be at risk of theft. If this setting is not configured, WDigest authentication is disabled in Windows 8.1 and in Windows Server 2012 R2; it is enabled by default in earlier versions of Windows and Windows Server. For more information about local accounts and credential theft, review the ""Mitigating Pass-the-Hash (PtH) Attacks and Other Credential Theft Techniques"" documents. For more information about UseLogonCredential, see Microsoft Knowledge Base article 2871997: Microsoft Security Advisory Update to improve credentials protection and management May 13, 2014. The recommended state for this setting is: Disabled."|Preventing the plaintext storage of credentials in memory may reduce opportunity for credential theft.|None - this is also the default configuration for Windows 8.1 or newer.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 0. HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest:UseLogonCrede ntial|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Disabled. Administrative Templates\MS Security Guide\WDigest Authentication (disabling may require KB2871997)|On Windows 8.0 and older: Enabled. (Lsass.exe retains a copy of the user's plaintext password in memory, where it is at risk of theft.) On Windows 8.1 or newer: Disabled. (Lsass.exe does not retain a copy of the user's plaintext password in memory.)|1. https://www.microsoft.com/en-us/download/details.aspx?id=36036 2. https://support.microsoft.com/en-us/topic/microsoft-security-advisory-update-toimprove-credentials-protection-and-management-may-13-2014-93434251-04acb7f3-52aa-9f951c14b649 3. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspmssecurityguide#wdigestauthentication 4. Minimum OS CSP: Windows 10, Version 1803 and later 5. GRID: MS-00000248|
To Review|4.5.1|(L1)|Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled' (Automated)|||• Level 1 (L1)|This setting is separate from the Welcome screen feature in Windows XP and Windows Vista; if that feature is disabled, this setting is not disabled. If you configure a computer for automatic logon, anyone who can physically gain access to the computer can also gain access to everything that is on the computer, including any network or networks to which the computer is connected. Also, if you enable automatic logon, the password is stored in the registry in plaintext, and the specific registry key that stores this value is remotely readable by the Authenticated Users group. For additional information, see Microsoft Knowledge Base article 324737: How to turn on automatic logon in Windows. The recommended state for this setting is: Disabled.|If you configure a computer for automatic logon, anyone who can physically gain access to the computer can also gain access to everything that is on the computer, including any network or networks that the computer is connected to. Also, if you enable automatic logon, the password is stored in the registry in plaintext. The specific registry key that stores this setting is remotely readable by the Authenticated Users group. As a result, this entry is appropriate only if the computer is physically secured and if you ensure that untrusted users cannot remotely see the registry.|None - this is the default behavior. Warning: Windows Autopilot - Policy Conflicts: Windows Autopilot pre-provisioning doesn't work when this policy setting is Disabled. If Windows Autopilot is used in the environment, assign this setting exclusively to user groups rather than device groups. This ensures the setting is applied later during enrollment, allowing Windows Autopilot to complete its pre-provisioning process and prevent potential interruptions.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_SZ value of 0. HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon:AutoAdminLogon|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to `Disabled. Administrative Templates\MSS (Legacy)\MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)|Disabled.|1. https://learn.microsoft.com/en-us/windows/security/threat-protection/securitypolicy-settings/recovery-console-allow-automatic-administrative-logon 2. https://techcommunity.microsoft.com/t5/microsoft-security-baselines/the-msssettings/ba-p/701055 3. Minimum OS CSP: Windows 10, Version 2004 with KB5005101 and later 4. GRID: MS-00000249|
To Review|4.5.2|(L1)|Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)|||• Level 1 (L1)|IP source routing is a mechanism that allows the sender to determine the IP route that a datagram should follow through the network. The recommended state for this setting is: Enabled: Highest protection, source routing is completely disabled.|An attacker could use source routed packets to obscure their identity and location. Source routing allows a computer that sends a packet to specify the route that the packet takes.|All incoming source routed packets will be dropped.|Navigate to the UI Path articulated in the Remediation section and confirm it is set as prescribed. This policy setting is backed by the following registry location with a REG_DWORD value of 2. HKLM\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters:DisableIPSourceRouti ng|To establish the recommended configuration via configuration profiles, set the following Settings Catalog path to Enabled: Highest protection, source routing is completely disabled. Administrative Templates\MSS (Legacy)\MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)|No additional protection, source routed packets are allowed.|1. https://techcommunity.microsoft.com/t5/microsoft-security-baselines/the-msssettings/ba-p/701055 2. https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-cspmsslegacy#ipv6sourceroutingprotectionlevel 3. Minimum OS CSP: Windows 10, Version 1803 and later 4. GRID: MS-00000250|
